FN (N/m)	AA (deg)	MS	LA (deg)	CA (deg)	TWD (mm)	BWD (mm)	SWD (mm)
7	12	0.1201	25.86	46.68	2.5	3.33	5.19
8	12	0.1215	26.17	45.45	2.46	3.29	5.16
9	12	0.123	26.48	44.18	2.42	3.24	5.12
10	12	0.1244	26.8	42.89	2.37	3.2	5.09
12	12	0.1275	27.43	40.2	2.28	3.11	5.01
14	12	0.1306	28.07	37.4	2.19	3.01	4.93
16	12	0.1339	28.72	34.47	2.08	2.9	4.84
18	12	0.1372	29.35	31.52	1.98	2.79	4.75
20	12	0.1408	30	28.38	1.86	2.67	4.65
25	12	0.1493	31.45	20.6	1.57	2.38	4.39
30	12	0.1583	32.74	12.84	1.27	2.08	4.11
35	12	0.1666	33.91	6.39	1.02	1.83	3.88
40	12	0.1741	35	1.54	0.8	1.61	3.68
45	12	0.1799	35.89	0.14	0.66	1.46	3.55
50	12	0.1862	36.76	0	0.54	1.34	3.44
55	12	0.1923	37.52	0	0.45	1.24	3.36
60	12	0.1985	38.2	0	0.37	1.15	3.28
5	-12	0.0415	9.05	90.57	4.51	6	9.48
6	-12	0.0466	10.04	89.96	4.48	6.01	9.48
7	-12	0.0678	14.94	85	4.34	5.99	9.51
8	-12	0.0593	12.76	87.78	4.4	6	9.49
9	-12	0.0803	17.63	81.95	4.25	5.98	9.5
10	-12	0.1003	21.94	76.73	4.08	5.94	9.47
12	-12	0.1182	25.64	71.11	3.91	5.86	9.41
14	-12	0.1196	25.98	69.61	3.88	5.84	9.4
16	-12	0.1212	26.34	67.97	3.86	5.82	9.38
18	-12	0.1228	26.72	66.21	3.83	5.79	9.37
20	-12	0.1246	27.12	64.31	3.79	5.76	9.35
25	-12	0.1296	28.22	58.87	3.69	5.67	9.29
30	-12	0.1371	29.41	52.5	3.55	5.55	9.21
35	-12	0.1454	30.68	45.22	3.38	5.39	9.1
40	-12	0.1543	31.95	37.33	3.17	5.2	8.95
45	-12	0.1633	33.12	29.33	2.94	4.99	8.76
50	-12	0.173	34.25	21.45	2.69	4.76	8.56
55	-12	0.1819	35.29	14.77	2.47	4.55	8.37
60	-12	0.1898	36.24	9.1	2.27	4.37	8.21
5	-10	0.0391	8.53	89.93	4.44	5.84	9.18
6	-10	0.0601	13.32	84.86	4.31	5.83	9.2
7	-10	0.0564	12.37	86.17	4.33	5.83	9.2
8	-10	0.0731	16.06	81.75	4.21	5.82	9.19
9	-10	0.092	20.19	76.78	4.05	5.77	9.16
10	-10	0.1152	24.96	70.94	3.84	5.69	9.08
12	-10	0.1191	25.81	68.45	3.78	5.65	9.06
14	-10	0.1207	26.19	66.78	3.75	5.62	9.04
16	-10	0.1225	26.59	65	3.72	5.59	9.02
18	-10	0.1243	27	63.08	3.68	5.56	9
20	-10	0.1263	27.44	61.02	3.64	5.52	8.98
25	-10	0.1317	28.6	55.23	3.52	5.41	8.91
30	-10	0.1397	29.87	48.48	3.36	5.27	8.81
35	-10	0.1482	31.14	41.07	3.17	5.09	8.67
40	-10	0.1571	32.38	33.22	2.96	4.89	8.5
45	-10	0.166	33.51	25.4	2.72	4.67	8.31
50	-10	0.1757	34.64	17.72	2.46	4.43	8.09
55	-10	0.1841	35.64	11.86	2.26	4.25	7.93
60	-10	0.1916	36.57	6.23	2.06	4.06	7.76
5	-8	0.053	11.84	84.54	4.27	5.67	8.9
6	-8	0.0701	15.6	80.06	4.14	5.65	8.89
7	-8	0.0677	14.94	81.01	4.16	5.65	8.89
8	-8	0.0854	18.81	76.37	4.01	5.61	8.85
9	-8	0.1083	23.52	70.65	3.8	5.52	8.77
10	-8	0.1183	25.59	67.43	3.69	5.45	8.72
12	-8	0.12	25.99	65.75	3.65	5.42	8.7
14	-8	0.1218	26.4	63.94	3.62	5.39	8.68
16	-8	0.1237	26.83	62.02	3.58	5.36	8.66
18	-8	0.1258	27.28	59.95	3.53	5.32	8.63
20	-8	0.1279	27.75	57.74	3.49	5.27	8.61
25	-8	0.1338	28.98	51.6	3.35	5.15	8.52
30	-8	0.1422	30.3	44.6	3.17	4.98	8.39
35	-8	0.1509	31.57	37.06	2.97	4.79	8.24
40	-8	0.1597	32.75	29.33	2.74	4.58	8.06
45	-8	0.1687	33.89	21.61	2.49	4.35	7.85
50	-8	0.1778	34.97	14.69	2.25	4.12	7.65
55	-8	0.1859	35.97	8.96	2.05	3.93	7.48
60	-8	0.1931	36.89	3.87	1.86	3.75	7.32
5	-6	0.0626	14	79.9	4.11	5.49	8.59
6	-6	0.0593	13.12	81.1	4.14	5.5	8.59
7	-6	0.0771	17.07	76.38	3.99	5.45	8.55
8	-6	0.0997	21.72	70.77	3.78	5.36	8.47
9	-6	0.1181	25.53	65.76	3.58	5.25	8.37
10	-6	0.1191	25.75	64.86	3.56	5.23	8.36
12	-6	0.1209	26.17	63.05	3.52	5.2	8.34
14	-6	0.1229	26.62	61.11	3.48	5.16	8.32
16	-6	0.125	27.08	59.03	3.43	5.12	8.29
18	-6	0.1272	27.56	56.82	3.38	5.07	8.26
20	-6	0.1296	28.06	54.47	3.33	5.02	8.22
25	-6	0.136	29.36	48	3.17	4.87	8.11
30	-6	0.1445	30.69	40.79	2.98	4.69	7.97
35	-6	0.1534	31.96	33.18	2.76	4.48	7.8
40	-6	0.1622	33.1	25.55	2.52	4.26	7.6
45	-6	0.1713	34.25	17.94	2.26	4.02	7.39
50	-6	0.1796	35.28	11.79	2.05	3.82	7.2
55	-6	0.1877	36.3	6.05	1.84	3.62	7.03
60	-6	0.1943	37.17	2.31	1.67	3.46	6.89
5	-4	0.0495	11.06	81.5	4.13	5.35	8.3
6	-4	0.0638	14.15	77.84	4.01	5.32	8.27
7	-4	0.0854	18.76	72.3	3.81	5.24	8.2
8	-4	0.1063	23.07	67.06	3.6	5.12	8.1
9	-4	0.1189	25.68	63.21	3.45	5.03	8.01
10	-4	0.1199	25.9	62.28	3.43	5.01	8
12	-4	0.1219	26.36	60.33	3.39	4.97	7.98
14	-4	0.1241	26.84	58.25	3.34	4.92	7.95
16	-4	0.1264	27.33	56.03	3.28	4.88	7.91
18	-4	0.1287	27.84	53.69	3.23	4.82	7.87
20	-4	0.1312	28.36	51.22	3.17	4.76	7.83
25	-4	0.138	29.72	44.45	2.99	4.59	7.71
30	-4	0.1468	31.06	37.07	2.78	4.39	7.54
35	-4	0.1558	32.29	29.47	2.55	4.18	7.36
40	-4	0.1646	33.45	21.86	2.3	3.94	7.15
45	-4	0.1735	34.59	14.67	2.05	3.7	6.93
50	-4	0.1814	35.59	8.88	1.84	3.5	6.75
55	-4	0.1892	36.6	3.64	1.64	3.31	6.58
60	-4	0.195	37.41	1.24	1.49	3.17	6.46
5	-2	0.055	12.29	77.99	4	5.17	7.99
6	-2	0.0714	15.87	73.73	3.85	5.11	7.93
7	-2	0.0944	20.61	68.02	3.62	5	7.82
8	-2	0.1177	25.4	62.17	3.36	4.84	7.68
9	-2	0.1196	25.82	60.67	3.32	4.81	7.66
10	-2	0.1206	26.06	59.69	3.3	4.78	7.64
12	-2	0.1229	26.55	57.6	3.25	4.74	7.61
14	-2	0.1252	27.06	55.39	3.19	4.68	7.57
16	-2	0.1277	27.59	53.04	3.13	4.63	7.53
18	-2	0.1302	28.12	50.57	3.07	4.57	7.49
20	-2	0.1329	28.66	47.96	3	4.5	7.44
25	-2	0.1402	30.07	40.9	2.8	4.31	7.29
30	-2	0.1491	31.42	33.41	2.58	4.09	7.11
35	-2	0.1581	32.62	25.82	2.34	3.86	6.91
40	-2	0.167	33.79	18.26	2.08	3.62	6.68
45	-2	0.1752	34.88	11.77	1.84	3.39	6.48
50	-2	0.1831	35.91	5.95	1.63	3.19	6.3
55	-2	0.1903	36.87	2.05	1.45	3.01	6.15
60	-2	0.1956	37.66	0.52	1.32	2.89	6.04
5	0	0.061	13.63	74.35	3.86	4.99	7.66
6	0	0.0798	17.58	69.63	3.67	4.89	7.57
7	0	0.1038	22.52	63.66	3.41	4.74	7.43
8	0	0.1192	25.71	59.18	3.21	4.6	7.31
9	0	0.1203	25.96	58.14	3.19	4.58	7.29
10	0	0.1215	26.22	57.08	3.16	4.55	7.27
12	0	0.1239	26.74	54.87	3.11	4.5	7.24
14	0	0.1264	27.28	52.51	3.04	4.44	7.19
16	0	0.129	27.83	50.04	2.98	4.38	7.15
18	0	0.1318	28.4	47.42	2.91	4.31	7.09
20	0	0.1346	28.97	44.7	2.83	4.23	7.04
25	0	0.1423	30.41	37.42	2.61	4.02	6.87
30	0	0.1512	31.74	29.85	2.38	3.79	6.67
35	0	0.1603	32.94	22.24	2.12	3.55	6.45
40	0	0.1692	34.13	14.77	1.85	3.29	6.22
45	0	0.1772	35.2	8.82	1.64	3.08	6.03
50	0	0.185	36.24	3.42	1.43	2.88	5.85
55	0	0.1912	37.13	1.02	1.27	2.73	5.72
60	0	0.1964	37.93	0.07	1.16	2.61	5.62
5	2	0.0675	15.03	70.64	3.71	4.78	7.32
6	2	0.0881	19.27	65.55	3.49	4.66	7.2
7	2	0.1122	24.24	59.53	3.2	4.47	7.02
8	2	0.1198	25.84	56.69	3.09	4.38	6.95
9	2	0.121	26.11	55.6	3.06	4.35	6.93
10	2	0.1223	26.38	54.47	3.03	4.32	6.91
12	2	0.1249	26.94	52.11	2.96	4.26	6.86
14	2	0.1276	27.51	49.62	2.89	4.19	6.81
16	2	0.1304	28.08	47.03	2.82	4.12	6.76
18	2	0.1334	28.68	44.28	2.74	4.04	6.7
20	2	0.1364	29.27	41.44	2.65	3.96	6.63
25	2	0.1444	30.75	33.95	2.42	3.73	6.44
30	2	0.1533	32.03	26.34	2.17	3.49	6.23
35	2	0.1626	33.26	18.7	1.9	3.23	6
40	2	0.171	34.42	11.84	1.65	2.98	5.77
45	2	0.179	35.51	5.87	1.43	2.77	5.58
50	2	0.1863	36.51	1.79	1.24	2.58	5.41
55	2	0.1918	37.35	0.38	1.11	2.45	5.3
60	2	0.1966	38.13	0	1	2.34	5.21
5	4	0.0731	16.17	67.23	3.55	4.57	6.97
6	4	0.0955	20.79	61.67	3.29	4.41	6.81
7	4	0.119	25.64	55.5	2.99	4.19	6.61
8	4	0.1205	25.97	54.19	2.95	4.16	6.58
9	4	0.1218	26.26	53.03	2.92	4.12	6.56
10	4	0.1232	26.55	51.84	2.89	4.09	6.54
12	4	0.1259	27.14	49.35	2.82	4.02	6.48
14	4	0.1288	27.73	46.74	2.74	3.94	6.43
16	4	0.1318	28.34	44	2.66	3.86	6.36
18	4	0.1349	28.96	41.13	2.57	3.77	6.29
20	4	0.1382	29.57	38.18	2.48	3.68	6.22
25	4	0.1465	31.07	30.51	2.23	3.43	6.01
30	4	0.1554	32.33	22.87	1.96	3.18	5.78
35	4	0.1647	33.58	15.22	1.68	2.91	5.53
40	4	0.1728	34.71	8.91	1.45	2.68	5.33
45	4	0.1806	35.8	3.26	1.23	2.46	5.13
50	4	0.1868	36.73	0.83	1.07	2.3	4.99
55	4	0.1918	37.53	0	0.95	2.18	4.89
60	4	0.197	38.39	0	0.84	2.07	4.8
5	6	0.079	17.39	63.74	3.39	4.35	6.61
6	6	0.1008	21.88	58.31	3.12	4.17	6.43
7	6	0.1198	25.8	52.9	2.86	3.96	6.25
8	6	0.1212	26.11	51.68	2.82	3.93	6.22
9	6	0.1226	26.41	50.45	2.78	3.89	6.19
10	6	0.124	26.72	49.19	2.75	3.85	6.16
12	6	0.127	27.34	46.55	2.67	3.77	6.1
14	6	0.1301	27.96	43.82	2.58	3.69	6.04
16	6	0.1332	28.6	40.96	2.49	3.6	5.97
18	6	0.1365	29.23	38	2.4	3.5	5.89
20	6	0.14	29.87	34.93	2.3	3.4	5.8
25	6	0.1485	31.34	27.14	2.03	3.14	5.58
30	6	0.1575	32.62	19.42	1.76	2.87	5.33
35	6	0.1666	33.87	12.1	1.48	2.6	5.08
40	6	0.1746	35.01	5.95	1.24	2.37	4.88
45	6	0.1816	36.04	1.62	1.04	2.17	4.7
50	6	0.187	36.91	0.26	0.91	2.03	4.58
55	6	0.1933	37.71	0	0.8	1.91	4.48
60	6	0.1992	38.6	0	0.7	1.81	4.39
5	8	0.0846	18.53	60.35	3.23	4.12	6.24
6	8	0.1091	23.58	54.24	2.9	3.89	6.01
7	8	0.1205	25.93	50.43	2.73	3.74	5.88
8	8	0.1219	26.25	49.16	2.69	3.7	5.85
9	8	0.1234	26.57	47.86	2.65	3.66	5.82
10	8	0.1249	26.89	46.52	2.6	3.62	5.79
12	8	0.1281	27.55	43.75	2.52	3.53	5.72
14	8	0.1314	28.2	40.89	2.42	3.43	5.65
16	8	0.1348	28.86	37.89	2.33	3.33	5.56
18	8	0.1382	29.52	34.82	2.22	3.23	5.48
20	8	0.1418	30.17	31.67	2.11	3.12	5.38
25	8	0.1505	31.61	23.81	1.83	2.84	5.14
30	8	0.1596	32.92	15.99	1.54	2.56	4.88
35	8	0.1682	34.13	9.21	1.28	2.3	4.64
40	8	0.1764	35.31	3.16	1.04	2.06	4.43
45	8	0.1826	36.26	0.67	0.88	1.89	4.28
50	8	0.1891	37.17	0	0.75	1.76	4.17
55	8	0.1956	37.97	0	0.65	1.65	4.08
60	8	0.2023	38.78	0	0.55	1.54	3.99
5	10	0.0895	19.53	57.12	3.06	3.89	5.87
6	10	0.1143	24.64	50.93	2.72	3.63	5.62
7	10	0.1211	26.05	47.98	2.59	3.51	5.52
8	10	0.1227	26.39	46.62	2.55	3.47	5.49
9	10	0.1243	26.73	45.24	2.51	3.42	5.45
10	10	0.1259	27.07	43.84	2.46	3.38	5.42
12	10	0.1292	27.75	40.95	2.36	3.28	5.34
14	10	0.1327	28.44	37.94	2.26	3.18	5.25
16	10	0.1362	29.12	34.84	2.16	3.07	5.16
18	10	0.1399	29.79	31.66	2.04	2.95	5.07
20	10	0.1437	30.46	28.42	1.93	2.83	4.96
25	10	0.1525	31.87	20.52	1.64	2.55	4.7
30	10	0.1617	33.23	12.61	1.33	2.24	4.42
35	10	0.17	34.41	6.25	1.08	1.99	4.2
40	10	0.1778	35.53	1.51	0.86	1.77	4
45	10	0.1849	36.47	0.14	0.72	1.62	3.87
50	10	0.1916	37.35	0	0.6	1.5	3.77
55	10	0.1983	38.21	0	0.5	1.39	3.67
60	10	0.2049	39	0	0.41	1.29	3.59
5	12	0.0961	20.87	53.46	2.87	3.63	5.48
6	12	0.1198	25.77	47.1	2.51	3.34	5.2
7	12	0.1218	26.19	45.45	2.46	3.29	5.16
8	12	0.1234	26.54	44.05	2.41	3.24	5.12
9	12	0.1251	26.9	42.61	2.36	3.19	5.08
10	12	0.1269	27.26	41.12	2.31	3.14	5.04
12	12	0.1304	27.97	38.1	2.21	3.03	4.95
14	12	0.1341	28.69	34.95	2.1	2.91	4.86
16	12	0.1379	29.39	31.73	1.98	2.79	4.76
18	12	0.1417	30.08	28.46	1.86	2.67	4.65
20	12	0.1456	30.75	25.15	1.74	2.54	4.54
25	12	0.1547	32.14	17.19	1.43	2.24	4.26
30	12	0.1637	33.47	9.74	1.14	1.95	3.99
35	12	0.1724	34.71	3.24	0.88	1.69	3.75
40	12	0.1801	35.75	0.54	0.7	1.5	3.59
45	12	0.1872	36.72	0	0.57	1.36	3.47
50	12	0.1941	37.55	0	0.46	1.24	3.37
55	12	0.2011	38.31	0	0.37	1.14	3.28
60	12	0.2078	39.13	0	0.28	1.04	3.21
5	-12	0.0682	15.18	84.45	4.34	5.99	9.52
6	-12	0.0924	20.16	78.46	4.16	5.96	9.5
7	-12	0.0971	21.16	77.34	4.12	5.95	9.49
8	-12	0.1166	25.19	72.46	3.94	5.88	9.43
9	-12	0.1193	25.76	70.9	3.91	5.86	9.42
10	-12	0.1203	25.99	69.95	3.89	5.85	9.41
12	-12	0.1224	26.46	67.92	3.86	5.82	9.4
14	-12	0.1247	26.96	65.77	3.82	5.78	9.38
16	-12	0.1271	27.47	63.48	3.78	5.74	9.36
18	-12	0.1296	28	61.03	3.73	5.7	9.33
20	-12	0.1322	28.53	58.51	3.68	5.66	9.31
25	-12	0.1392	29.91	51.59	3.52	5.52	9.21
30	-12	0.1481	31.27	44.13	3.34	5.35	9.09
35	-12	0.1572	32.49	36.49	3.13	5.17	8.94
40	-12	0.1662	33.67	28.85	2.91	4.96	8.75
45	-12	0.1754	34.84	21.46	2.66	4.73	8.55
50	-12	0.184	35.93	15.04	2.43	4.52	8.37
55	-12	0.1918	36.94	9.55	2.24	4.34	8.21
60	-12	0.1987	37.88	4.42	2.04	4.15	8.05
5	-10	0.0831	18.21	78.73	4.14	5.8	9.19
6	-10	0.0815	17.94	79.19	4.15	5.8	9.19
7	-10	0.1018	22.12	74.16	3.97	5.74	9.14
8	-10	0.1189	25.65	69.4	3.8	5.66	9.07
9	-10	0.12	25.9	68.38	3.79	5.64	9.07
10	-10	0.1211	26.15	67.35	3.77	5.63	9.06
12	-10	0.1234	26.66	65.19	3.73	5.59	9.04
14	-10	0.1259	27.18	62.9	3.68	5.55	9.02
16	-10	0.1285	27.73	60.45	3.63	5.51	8.99
18	-10	0.1311	28.28	57.9	3.58	5.46	8.96
20	-10	0.1339	28.84	55.25	3.52	5.4	8.92
25	-10	0.1414	30.26	48.07	3.35	5.25	8.81
30	-10	0.1503	31.61	40.49	3.15	5.06	8.67
35	-10	0.1593	32.8	32.92	2.93	4.87	8.5
40	-10	0.1684	34.01	25.31	2.69	4.64	8.31
45	-10	0.1776	35.18	18.06	2.44	4.41	8.1
50	-10	0.1858	36.25	12.23	2.23	4.21	7.93
55	-10	0.1934	37.25	6.77	2.03	4.02	7.76
60	-10	0.1999	38.17	2.9	1.85	3.86	7.62
5	-8	0.0671	14.95	80.73	4.16	5.65	8.9
6	-8	0.0837	18.38	76.63	4.03	5.61	8.86
7	-8	0.1076	23.31	70.69	3.81	5.52	8.78
8	-8	0.1196	25.78	66.89	3.68	5.44	8.72
9	-8	0.1207	26.04	65.84	3.66	5.42	8.71
10	-8	0.1219	26.31	64.74	3.64	5.4	8.7
12	-8	0.1244	26.85	62.44	3.59	5.36	8.68
14	-8	0.1271	27.41	60.01	3.54	5.31	8.65
16	-8	0.1298	27.97	57.47	3.48	5.26	8.61
18	-8	0.1327	28.56	54.76	3.42	5.2	8.58
20	-8	0.1357	29.15	51.96	3.35	5.14	8.53
25	-8	0.1435	30.61	44.55	3.16	4.97	8.4
30	-8	0.1524	31.9	36.99	2.95	4.77	8.24
35	-8	0.1617	33.13	29.34	2.72	4.56	8.06
40	-8	0.1707	34.34	21.84	2.47	4.33	7.85
45	-8	0.1796	35.5	15.04	2.23	4.1	7.65
50	-8	0.1875	36.56	9.4	2.02	3.9	7.48
55	-8	0.1948	37.56	4.15	1.82	3.71	7.31
60	-8	0.2004	38.4	1.59	1.67	3.57	7.19
5	-6	0.0704	15.62	77.91	4.05	5.47	8.58
6	-6	0.0908	19.83	72.86	3.87	5.4	8.51
7	-6	0.1154	24.91	66.7	3.62	5.27	8.4
8	-6	0.1202	25.91	64.41	3.55	5.22	8.36
9	-6	0.1215	26.19	63.28	3.53	5.2	8.35
10	-6	0.1228	26.47	62.11	3.5	5.18	8.34
12	-6	0.1255	27.05	59.68	3.45	5.13	8.31
14	-6	0.1283	27.64	57.1	3.39	5.07	8.27
16	-6	0.1312	28.23	54.45	3.33	5.01	8.23
18	-6	0.1342	28.84	51.64	3.26	4.95	8.19
20	-6	0.1374	29.45	48.71	3.18	4.88	8.14
25	-6	0.1456	30.94	41.11	2.98	4.68	7.99
30	-6	0.1545	32.2	33.5	2.76	4.48	7.81
35	-6	0.1638	33.44	25.85	2.51	4.25	7.61
40	-6	0.1728	34.67	18.43	2.25	4.01	7.39
45	-6	0.1812	35.8	12.21	2.03	3.79	7.21
50	-6	0.1892	36.88	6.57	1.82	3.59	7.03
55	-6	0.1959	37.84	2.58	1.63	3.41	6.88
60	-6	0.2016	38.71	0.71	1.5	3.28	6.77
5	-4	0.0751	16.59	74.73	3.91	5.28	8.24
6	-4	0.0977	21.24	69.12	3.7	5.17	8.15
7	-4	0.1194	25.71	63.23	3.45	5.03	8.02
8	-4	0.1209	26.05	61.89	3.42	5	8.01
9	-4	0.1223	26.34	60.71	3.4	4.97	7.99
10	-4	0.1237	26.64	59.47	3.37	4.95	7.97
12	-4	0.1265	27.25	56.9	3.31	4.89	7.94
14	-4	0.1295	27.86	54.22	3.24	4.83	7.89
16	-4	0.1326	28.49	51.41	3.17	4.76	7.85
18	-4	0.1358	29.11	48.5	3.09	4.69	7.79
20	-4	0.1392	29.75	45.46	3.01	4.61	7.73
25	-4	0.1477	31.23	37.71	2.79	4.4	7.56
30	-4	0.1566	32.5	30.04	2.55	4.18	7.37
35	-4	0.166	33.76	22.39	2.3	3.93	7.16
40	-4	0.1749	35	15.16	2.03	3.68	6.93
45	-4	0.1829	36.1	9.35	1.82	3.48	6.75
50	-4	0.1909	37.2	3.88	1.61	3.27	6.57
55	-4	0.1967	38.09	1.34	1.45	3.12	6.45
60	-4	0.2031	39.08	0.24	1.32	2.99	6.34
5	-2	0.0805	17.7	71.36	3.77	5.07	7.9
6	-2	0.1026	22.24	65.86	3.54	4.95	7.78
7	-2	0.1202	25.87	60.64	3.32	4.8	7.66
8	-2	0.1216	26.19	59.39	3.29	4.77	7.64
9	-2	0.1231	26.5	58.12	3.26	4.75	7.62
10	-2	0.1245	26.82	56.81	3.23	4.71	7.6
12	-2	0.1276	27.46	54.09	3.16	4.65	7.56
14	-2	0.1308	28.1	51.3	3.09	4.58	7.51
16	-2	0.1341	28.76	48.33	3.01	4.5	7.45
18	-2	0.1375	29.39	45.33	2.92	4.42	7.39
20	-2	0.141	30.04	42.2	2.83	4.33	7.32
25	-2	0.1497	31.49	34.38	2.6	4.11	7.14
30	-2	0.1587	32.79	26.6	2.35	3.87	6.93
35	-2	0.1681	34.09	18.97	2.08	3.62	6.7
40	-2	0.1766	35.3	12.29	1.83	3.38	6.49
45	-2	0.1847	36.43	6.44	1.61	3.16	6.3
50	-2	0.192	37.47	2.27	1.42	2.97	6.13
55	-2	0.1978	38.39	0.54	1.28	2.83	6.02
60	-2	0.2041	39.24	0	1.16	2.72	5.92
5	0	0.0863	18.88	67.91	3.61	4.86	7.54
6	0	0.11	23.75	62	3.34	4.69	7.39
7	0	0.1208	26	58.16	3.19	4.58	7.3
8	0	0.1223	26.33	56.85	3.16	4.55	7.28
9	0	0.1239	26.66	55.51	3.12	4.51	7.25
10	0	0.1255	27	54.14	3.09	4.48	7.23
12	0	0.1287	27.66	51.31	3.01	4.4	7.18
14	0	0.1321	28.34	48.35	2.93	4.32	7.12
16	0	0.1356	29.01	45.3	2.84	4.24	7.06
18	0	0.1392	29.68	42.14	2.75	4.15	6.98
20	0	0.1429	30.34	38.94	2.65	4.05	6.91
25	0	0.1518	31.76	31.04	2.41	3.82	6.71
30	0	0.1608	33.1	23.17	2.14	3.56	6.48
35	0	0.1703	34.41	15.59	1.86	3.29	6.24
40	0	0.1784	35.6	9.39	1.63	3.07	6.04
45	0	0.1865	36.75	3.67	1.4	2.84	5.84
50	0	0.1933	37.74	1.1	1.24	2.68	5.7
55	0	0.2003	38.63	0.08	1.11	2.55	5.6
60	0	0.2073	39.47	0	1	2.44	5.51
5	2	0.0907	19.77	64.82	3.46	4.64	7.19
6	2	0.1155	24.89	58.62	3.16	4.44	7
7	2	0.1215	26.14	55.67	3.06	4.35	6.93
8	2	0.1231	26.48	54.3	3.02	4.32	6.91
9	2	0.1248	26.83	52.88	2.98	4.28	6.88
10	2	0.1265	27.19	51.41	2.94	4.24	6.85
12	2	0.1299	27.87	48.47	2.86	4.16	6.79
14	2	0.1335	28.59	45.36	2.77	4.07	6.73
16	2	0.1371	29.27	42.22	2.68	3.97	6.65
18	2	0.1409	29.96	38.99	2.58	3.87	6.57
20	2	0.1448	30.63	35.68	2.47	3.77	6.49
25	2	0.1539	32.04	27.69	2.21	3.52	6.27
30	2	0.1631	33.4	19.79	1.93	3.25	6.02
35	2	0.1721	34.71	12.56	1.65	2.98	5.79
40	2	0.1805	35.91	6.45	1.42	2.75	5.58
45	2	0.1886	37.03	2.01	1.21	2.54	5.4
50	2	0.1959	38.02	0.39	1.07	2.4	5.28
55	2	0.2033	38.87	0	0.95	2.27	5.18
60	2	0.2105	39.72	0	0.84	2.16	5.09
5	4	0.0954	20.73	61.61	3.3	4.41	6.82
6	4	0.1196	25.74	55.22	2.98	4.18	6.61
7	4	0.1222	26.27	53.15	2.93	4.13	6.57
8	4	0.1239	26.63	51.72	2.89	4.08	6.54
9	4	0.1257	27	50.24	2.84	4.04	6.51
10	4	0.1275	27.37	48.7	2.8	4	6.48
12	4	0.1311	28.09	45.61	2.71	3.91	6.41
14	4	0.1349	28.82	42.4	2.61	3.81	6.33
16	4	0.1388	29.55	39.09	2.5	3.7	6.25
18	4	0.1427	30.24	35.76	2.39	3.59	6.16
20	4	0.1467	30.91	32.42	2.28	3.48	6.06
25	4	0.1561	32.32	24.34	2.01	3.22	5.83
30	4	0.1656	33.71	16.4	1.71	2.93	5.57
35	4	0.1746	35	9.63	1.45	2.67	5.34
40	4	0.1834	36.23	3.54	1.21	2.43	5.12
45	4	0.1913	37.28	0.89	1.04	2.26	4.97
50	4	0.1989	38.23	0	0.91	2.12	4.86
55	4	0.2062	39.11	0	0.79	2	4.76
60	4	0.2136	39.98	0	0.69	1.89	4.67
5	6	0.101	21.87	58.23	3.12	4.17	6.44
6	6	0.121	26	52.26	2.84	3.94	6.24
7	6	0.1229	26.42	50.62	2.79	3.9	6.2
8	6	0.1247	26.79	49.12	2.75	3.85	6.17
9	6	0.1266	27.19	47.53	2.7	3.8	6.13
10	6	0.1285	27.56	45.98	2.65	3.75	6.1
12	6	0.1324	28.32	42.72	2.55	3.65	6.02
14	6	0.1363	29.07	39.39	2.44	3.54	5.93
16	6	0.1404	29.81	36	2.33	3.43	5.84
18	6	0.1446	30.53	32.54	2.21	3.31	5.74
20	6	0.1487	31.16	29.19	2.1	3.2	5.64
25	6	0.1584	32.61	20.98	1.8	2.91	5.38
30	6	0.1681	34.03	13.11	1.5	2.61	5.11
35	6	0.1773	35.31	6.65	1.25	2.36	4.88
40	6	0.186	36.5	1.84	1.02	2.14	4.69
45	6	0.1939	37.54	0.25	0.87	1.98	4.55
50	6	0.2015	38.52	0	0.74	1.84	4.44
55	6	0.2093	39.36	0	0.64	1.73	4.35
60	6	0.217	40.17	0	0.54	1.63	4.26
5	8	0.1034	22.38	55.61	2.98	3.94	6.07
6	8	0.1214	26.09	49.93	2.71	3.72	5.88
7	8	0.1237	26.57	48.07	2.65	3.66	5.83
8	8	0.1256	26.96	46.5	2.6	3.61	5.79
9	8	0.1276	27.37	44.83	2.55	3.56	5.75
10	8	0.1296	27.76	43.21	2.5	3.51	5.71
12	8	0.1337	28.56	39.77	2.39	3.39	5.62
14	8	0.1379	29.34	36.32	2.27	3.27	5.52
16	8	0.1422	30.08	32.84	2.15	3.15	5.42
18	8	0.1465	30.8	29.33	2.02	3.03	5.31
20	8	0.1506	31.42	25.94	1.9	2.91	5.21
25	8	0.1607	32.9	17.62	1.59	2.6	4.93
30	8	0.1706	34.31	10.15	1.3	2.31	4.66
35	8	0.1801	35.63	3.63	1.04	2.04	4.43
40	8	0.1885	36.73	0.74	0.85	1.85	4.26
45	8	0.1965	37.77	0	0.71	1.7	4.14
50	8	0.2044	38.72	0	0.59	1.58	4.03
55	8	0.2124	39.63	0	0.49	1.46	3.94
60	8	0.2208	40.45	0	0.4	1.36	3.86
5	10	0.1052	22.75	53.14	2.85	3.73	5.72
6	10	0.122	26.21	47.5	2.58	3.5	5.51
7	10	0.1245	26.72	45.49	2.51	3.43	5.46
8	10	0.1266	27.14	43.81	2.46	3.37	5.42
9	10	0.1286	27.55	42.14	2.4	3.32	5.37
